junction,datetime,transition,transProb
TC,2010-01-03 06:30:00,qTU,0.000332362922642402
TC,2010-01-03 06:30:00,qUD,0.000889393917002856
TC,2010-01-03 06:30:00,qUT,0.000991578419816762
HOR,2010-01-03 06:45:00,qDT,-999
HOR,2010-01-03 06:45:00,qDU,-999
HOR,2010-01-03 06:45:00,qTD,-999
HOR,2010-01-03 06:45:00,qTU,-999
HOR,2010-01-03 06:45:00,qUD,-999
HOR,2010-01-03 06:45:00,qUT,-999
TC,2010-01-03 06:45:00,qDT,0.000139940635520647
TC,2010-01-03 06:45:00,qDU,0.00481124400738286
TC,2010-01-03 06:45:00,qTD,7.74583079549695e-05
TC,2010-01-03 06:45:00,qTU,0.00033234073390781
TC,2010-01-03 06:45:00,qUD,0.000912443978716951
TC,2010-01-03 06:45:00,qUT,0.00104805079470876
HOR,2010-01-03 07:00:00,qDT,-999
HOR,2010-01-03 07:00:00,qDU,-999
HOR,2010-01-03 07:00:00,qTD,-999
HOR,2010-01-03 07:00:00,qTU,-999
HOR,2010-01-03 07:00:00,qUD,-999
HOR,2010-01-03 07:00:00,qUT,-999
TC,2010-01-03 07:00:00,qDT,0.000139987898977701
TC,2010-01-03 07:00:00,qDU,0.00460988046255034
TC,2010-01-03 07:00:00,qTD,7.74699435859608e-05
TC,2010-01-03 07:00:00,qTU,0.00033231908204473
TC,2010-01-03 07:00:00,qUD,0.000935420462279675
TC,2010-01-03 07:00:00,qUT,0.0011082522486837
HOR,2010-01-03 07:15:00,qDT,-999
HOR,2010-01-03 07:15:00,qDU,-999
HOR,2010-01-03 07:15:00,qTD,-999
HOR,2010-01-03 07:15:00,qTU,-999
HOR,2010-01-03 07:15:00,qUD,-999
HOR,2010-01-03 07:15:00,qUT,-999
TC,2010-01-03 07:15:00,qDT,0.000140097449197089
TC,2010-01-03 07:15:00,qDU,0.00481198273436358
TC,2010-01-03 07:15:00,qTD,7.74589486488973e-05
TC,2010-01-03 07:15:00,qTU,0.000332329301935928
TC,2010-01-03 07:15:00,qUD,0.000916493076556695
TC,2010-01-03 07:15:00,qUT,0.00111289741494454
HOR,2010-01-03 07:30:00,qDT,-999
HOR,2010-01-03 07:30:00,qDU,-999
HOR,2010-01-03 07:30:00,qTD,-999
HOR,2010-01-03 07:30:00,qTU,-999
HOR,2010-01-03 07:30:00,qUD,-999
HOR,2010-01-03 07:30:00,qUT,-999
TC,2010-01-03 07:30:00,qDT,0.000140231061044438
TC,2010-01-03 07:30:00,qDU,0.00505859437592195
TC,2010-01-03 07:30:00,qTD,7.74461579686395e-05
TC,2010-01-03 07:30:00,qTU,0.000332341235504042
TC,2010-01-03 07:30:00,qUD,0.000897162047434632
TC,2010-01-03 07:30:00,qUT,0.00111803226364367
HOR,2010-01-03 07:45:00,qDT,-999
HOR,2010-01-03 07:45:00,qDU,-999
HOR,2010-01-03 07:45:00,qTD,-999
HOR,2010-01-03 07:45:00,qTU,-999
HOR,2010-01-03 07:45:00,qUD,-999
HOR,2010-01-03 07:45:00,qUT,-999
TC,2010-01-03 07:45:00,qDT,0.00014037886395035
TC,2010-01-03 07:45:00,qDU,0.00542185097889807
TC,2010-01-03 07:45:00,qTD,7.74287115038333e-05
TC,2010-01-03 07:45:00,qTU,0.000332360561913485
TC,2010-01-03 07:45:00,qUD,0.000877064817401518
TC,2010-01-03 07:45:00,qUT,0.00110671135774842
HOR,2010-01-03 08:00:00,qDT,-999
HOR,2010-01-03 08:00:00,qDU,-999
HOR,2010-01-03 08:00:00,qTD,-999
HOR,2010-01-03 08:00:00,qTU,-999
HOR,2010-01-03 08:00:00,qUD,-999
HOR,2010-01-03 08:00:00,qUT,-999
TC,2010-01-03 08:00:00,qDT,0.000140539788938413
TC,2010-01-03 08:00:00,qDU,0.00581934903675229
TC,2010-01-03 08:00:00,qTD,7.74100046876607e-05
TC,2010-01-03 08:00:00,qTU,0.000332381103795133
TC,2010-01-03 08:00:00,qUD,0.000857394615249609
TC,2010-01-03 08:00:00,qUT,0.00109565801442131
HOR,2010-01-03 08:15:00,qDT,-999
HOR,2010-01-03 08:15:00,qDU,-999
HOR,2010-01-03 08:15:00,qTD,-999
HOR,2010-01-03 08:15:00,qTU,-999
HOR,2010-01-03 08:15:00,qUD,-999
HOR,2010-01-03 08:15:00,qUT,-999
TC,2010-01-03 08:15:00,qDT,0.00014059497148597
TC,2010-01-03 08:15:00,qDU,0.0059956863429289
TC,2010-01-03 08:15:00,qTD,7.74051164130365e-05
TC,2010-01-03 08:15:00,qTU,0.000332387626974408
TC,2010-01-03 08:15:00,qUD,0.000869157654980808
TC,2010-01-03 08:15:00,qUT,0.00108581930122647
HOR,2010-01-03 08:30:00,qDT,-999
HOR,2010-01-03 08:30:00,qDU,-999
HOR,2010-01-03 08:30:00,qTD,-999
HOR,2010-01-03 08:30:00,qTU,-999
HOR,2010-01-03 08:30:00,qUD,-999
HOR,2010-01-03 08:30:00,qUT,-999
TC,2010-01-03 08:30:00,qDT,0.00014063191296306
TC,2010-01-03 08:30:00,qDU,0.00613590146009082
TC,2010-01-03 08:30:00,qTD,7.74017665647115e-05
TC,2010-01-03 08:30:00,qTU,0.000332392585270915
TC,2010-01-03 08:30:00,qUD,0.000881737418340396
TC,2010-01-03 08:30:00,qUT,0.00107614234645409
HOR,2010-01-03 08:45:00,qDT,-999
HOR,2010-01-03 08:45:00,qDU,-999
HOR,2010-01-03 08:45:00,qTD,-999
HOR,2010-01-03 08:45:00,qTU,-999
HOR,2010-01-03 08:45:00,qUD,-999
HOR,2010-01-03 08:45:00,qUT,-999
TC,2010-01-03 08:45:00,qDT,0.000140508281058889
TC,2010-01-03 08:45:00,qDU,0.00590538789653203
TC,2010-01-03 08:45:00,qTD,7.74221263224238e-05
TC,2010-01-03 08:45:00,qTU,0.000332373082324302
TC,2010-01-03 08:45:00,qUD,0.000950270484550484
TC,2010-01-03 08:45:00,qUT,0.00107100014183576
HOR,2010-01-03 09:00:00,qDT,-999
HOR,2010-01-03 09:00:00,qDU,-999
HOR,2010-01-03 09:00:00,qTD,-999
HOR,2010-01-03 09:00:00,qTU,-999
HOR,2010-01-03 09:00:00,qUD,-999
HOR,2010-01-03 09:00:00,qUT,-999
TC,2010-01-03 09:00:00,qDT,0.000140383319319581
TC,2010-01-03 09:00:00,qDU,0.00566704793009721
TC,2010-01-03 09:00:00,qTD,7.74436823825028e-05
TC,2010-01-03 09:00:00,qTU,0.00033235231757719
TC,2010-01-03 09:00:00,qUD,0.00102417207784132
TC,2010-01-03 09:00:00,qUT,0.00106625115565173
HOR,2010-01-03 09:15:00,qDT,-999
HOR,2010-01-03 09:15:00,qDU,-999
HOR,2010-01-03 09:15:00,qTD,-999
HOR,2010-01-03 09:15:00,qTU,-999
HOR,2010-01-03 09:15:00,qUD,-999
HOR,2010-01-03 09:15:00,qUT,-999
TC,2010-01-03 09:15:00,qDT,0.000140098708389456
TC,2010-01-03 09:15:00,qDU,0.00517248718915051
TC,2010-01-03 09:15:00,qTD,7.74900815458221e-05
TC,2010-01-03 09:15:00,qTU,0.000332309416860845
TC,2010-01-03 09:15:00,qUD,0.0011875704124509
TC,2010-01-03 09:15:00,qUT,0.00104523998499968
HOR,2010-01-03 09:30:00,qDT,3.80781027338486e-05
HOR,2010-01-03 09:30:00,qDU,4.96812808113976e-05
HOR,2010-01-03 09:30:00,qTD,4.21908483687076e-06
HOR,2010-01-03 09:30:00,qTU,2.12565004044612e-05
HOR,2010-01-03 09:30:00,qUD,0.00343017140756133
HOR,2010-01-03 09:30:00,qUT,0.0304871085898214
TC,2010-01-03 09:30:00,qDT,0.000139857692005264
TC,2010-01-03 09:30:00,qDU,0.00474966884472316
TC,2010-01-03 09:30:00,qTD,7.75378619403646e-05
TC,2010-01-03 09:30:00,qTU,0.000332265046366812
TC,2010-01-03 09:30:00,qUD,0.00137602474568923
TC,2010-01-03 09:30:00,qUT,0.00102475158601225
HOR,2010-01-03 09:45:00,qDT,3.80777382945066e-05
HOR,2010-01-03 09:45:00,qDU,4.9676001796715e-05
HOR,2010-01-03 09:45:00,qTD,4.22149940734619e-06
HOR,2010-01-03 09:45:00,qTU,2.12542417604539e-05
HOR,2010-01-03 09:45:00,qUD,0.00365207056252993
HOR,2010-01-03 09:45:00,qUT,0.0304716925180389
TC,2010-01-03 09:45:00,qDT,0.000139473314451524
TC,2010-01-03 09:45:00,qDU,0.00411907904704157
TC,2010-01-03 09:45:00,qTD,7.76240450484377e-05
TC,2010-01-03 09:45:00,qTU,0.000332187259556439
TC,2010-01-03 09:45:00,qUD,0.00174677872195467
TC,2010-01-03 09:45:00,qUT,0.000974287817228374
HOR,2010-01-03 10:00:00,qDT,3.80775630676336e-05
HOR,2010-01-03 10:00:00,qDU,4.96701669423025e-05
HOR,2010-01-03 10:00:00,qTD,4.22407084051052e-06
HOR,2010-01-03 10:00:00,qTU,2.12517452985657e-05
HOR,2010-01-03 10:00:00,qUD,0.00388836255283743
HOR,2010-01-03 10:00:00,qUT,0.0304636075207233
TC,2010-01-03 10:00:00,qDT,0.000139161447503971
TC,2010-01-03 10:00:00,qDU,0.00358198477674371
TC,2010-01-03 10:00:00,qTD,7.77232036073089e-05
TC,2010-01-03 10:00:00,qTU,0.000332096149626868
TC,2010-01-03 10:00:00,qUD,0.00221730586303025
TC,2010-01-03 10:00:00,qUT,0.000925894712965729
HOR,2010-01-03 10:15:00,qDT,3.80748231766132e-05
